month,symbol,shares,currency,usd_price,usd_value,jpy_price,jpy_value,fx_rate
2024-09,ARM,14,USD,143.009995,2002.139923,20419.396727,285871.554171,142.783005
2024-09,CDNS,4,USD,271.029999,1084.119995,38698.477606,154793.910424,142.783005
2024-09,MCD,5,USD,297.523071,1487.615356,42481.238104,212406.190521,142.783005
2024-09,MRVL,33,USD,71.883202,2372.145653,10263.699516,338702.084033,142.783005
2024-09,NVDA,28,USD,121.401649,3399.246185,17334.092295,485354.584259,142.783005
2024-09,QCOM,15,USD,166.393265,2495.898972,23758.130316,356371.954738,142.783005
2024-09,SBUX,15,USD,95.066727,1426.000900,13573.912889,203608.693332,142.783005
2024-09,SNPS,2,USD,506.390015,1012.780029,72303.887872,144607.775745,142.783005
2024-09,TSM,28,USD,171.188248,4793.270935,24442.772384,684397.626740,142.783005
2024-09,AMD,22,USD,164.080002,3609.760040,23427.835683,515412.385017,142.783005
2024-09,AVGO,13,USD,170.556305,2217.231964,24352.541699,316583.042087,142.783005
2024-09,3048.T,100,JPY,10.816949,1081.694872,1544.476440,154447.644043,142.783005
2024-09,7513.T,100,JPY,6.617552,661.755203,944.873962,94487.396240,142.783005
2024-09,8591.T,100,JPY,22.419785,2241.978527,3201.164307,320116.430664,142.783005
2024-09,8963.T,10,JPY,409.639691,4096.396909,58489.585938,584895.859375,142.783005
2024-09,8985.T,11,JPY,473.900282,5212.903104,67664.906250,744313.968750,142.783005
2024-09,9432.T,2800,JPY,0.992951,2780.262950,141.776535,396974.298096,142.783005
2024-09,7203.T,300,JPY,17.235345,5170.603415,2460.914307,738274.291992,142.783005
2024-09,8306.T,500,JPY,9.828836,4914.418034,1403.390747,701695.373535,142.783005
2024-09,8316.T,100,JPY,20.588985,2058.898456,2939.757080,293975.708008,142.783005
2024-09,9201.T,300,JPY,17.059201,5117.760171,2435.763916,730729.174805,142.783005
2024-09,9202.T,200,JPY,21.049831,4209.966180,3005.558105,601111.621094,142.783005
2024-10,ARM,14,USD,141.300003,1978.200043,21647.724926,303068.148962,153.203995
2024-10,CDNS,4,USD,276.119995,1104.479980,42302.686283,169210.745130,153.203995
2024-10,MCD,5,USD,287.068298,1435.341492,43980.010072,219900.050360,153.203995
2024-10,MRVL,33,USD,79.846962,2634.949745,12232.873543,403684.826929,153.203995
2024-10,NVDA,28,USD,132.729431,3716.424072,20334.679074,569371.014060,153.203995
2024-10,QCOM,15,USD,160.092880,2401.393204,24526.868785,367903.031780,153.203995
2024-10,SBUX,15,USD,95.271500,1429.072495,14595.974330,218939.614947,153.203995
2024-10,SNPS,2,USD,513.609985,1027.219971,78687.101500,157374.203000,153.203995
2024-10,TSM,28,USD,188.510391,5278.290955,28880.544989,808655.259701,153.203995
2024-10,AMD,22,USD,144.070007,3169.540161,22072.100646,485586.214209,153.203995
2024-10,AVGO,13,USD,168.409149,2189.318939,25800.954405,335412.407271,153.203995
2024-10,3048.T,100,JPY,10.874042,1087.404188,1665.946655,166594.665527,153.203995
2024-10,7513.T,100,JPY,6.855551,685.555134,1050.297852,105029.785156,153.203995
2024-10,8591.T,100,JPY,20.966209,2096.620874,3212.106934,321210.693359,153.203995
2024-10,8963.T,10,JPY,383.005398,3830.053983,58677.957031,586779.570312,153.203995
2024-10,8985.T,11,JPY,435.488298,4790.371275,66718.546875,733904.015625,153.203995
2024-10,9432.T,2800,JPY,0.947363,2652.617606,145.139862,406391.613770,153.203995
2024-10,7203.T,300,JPY,17.199819,5159.945847,2635.081055,790524.316406,153.203995
2024-10,8306.T,500,JPY,10.439324,5219.662170,1599.346191,799673.095703,153.203995
2024-10,8316.T,100,JPY,21.038071,2103.807058,3223.116455,322311.645508,153.203995
2024-10,9201.T,300,JPY,15.755494,4726.648332,2413.804688,724141.406250,153.203995
2024-10,9202.T,200,JPY,19.240868,3848.173589,2947.777832,589555.566406,153.203995
2024-11,ARM,14,USD,134.289993,1880.059906,20109.389630,281531.454816,149.746002
2024-11,CDNS,4,USD,306.809998,1227.239990,45943.570569,183774.282274,149.746002
2024-11,MCD,5,USD,290.901031,1454.505157,43561.266501,217806.332507,149.746002
2024-11,MRVL,33,USD,92.462143,3051.250717,13845.836261,456912.596597,149.746002
2024-11,NVDA,28,USD,138.218170,3870.108765,20697.618413,579533.315575,149.746002
2024-11,QCOM,15,USD,155.922607,2338.839111,23348.787114,350231.806704,149.746002
2024-11,SBUX,15,USD,99.913193,1498.697891,14961.601181,224424.017714,149.746002
2024-11,SNPS,2,USD,558.489990,1116.979980,83631.643305,167263.286610,149.746002
2024-11,TSM,28,USD,182.693024,5115.404663,27357.549926,766011.397918,149.746002
2024-11,AMD,22,USD,137.179993,3017.959839,20542.155485,451927.420662,149.746002
2024-11,AVGO,13,USD,160.780807,2090.150497,24076.283152,312991.680982,149.746002
2024-11,3048.T,100,JPY,10.825438,1082.543785,1621.066040,162106.604004,149.746002
2024-11,7513.T,100,JPY,7.211251,721.125066,1079.855957,107985.595703,149.746002
2024-11,8591.T,100,JPY,22.086664,2208.666408,3307.389648,330738.964844,149.746002
2024-11,8963.T,10,JPY,400.026565,4000.265652,59902.378906,599023.789062,149.746002
2024-11,8985.T,11,JPY,431.009263,4741.101894,64541.914062,709961.054688,149.746002
2024-11,9432.T,2800,JPY,1.006645,2818.605887,150.741058,422074.963379,149.746002
2024-11,7203.T,300,JPY,16.737654,5021.296112,2506.396729,751919.018555,149.746002
2024-11,8306.T,500,JPY,11.752696,5876.347828,1759.919189,879959.594727,149.746002
2024-11,8316.T,100,JPY,24.239859,2423.985928,3629.822021,362982.202148,149.746002
2024-11,9201.T,300,JPY,16.381910,4914.572915,2453.125488,735937.646484,149.746002
2024-11,9202.T,200,JPY,18.893854,3778.770733,2829.279053,565855.810547,149.746002
2024-12,ARM,14,USD,123.360001,1727.040009,19366.902693,271136.637709,156.994995
2024-12,CDNS,4,USD,300.459991,1201.839966,47170.714891,188682.859566,156.994995
2024-12,MCD,5,USD,284.886658,1424.433289,44725.779437,223628.897184,156.994995
2024-12,MRVL,33,USD,110.178474,3635.889656,17297.469055,570816.478801,156.994995
2024-12,NVDA,28,USD,134.259079,3759.254211,21078.003449,590184.096567,156.994995
2024-12,QCOM,15,USD,151.093384,2266.400757,23720.905050,355813.575753,156.994995
2024-12,SBUX,15,USD,89.532211,1342.983170,14056.109076,210841.636147,156.994995
2024-12,SNPS,2,USD,485.359985,970.719971,76199.088530,152398.177061,156.994995
2024-12,TSM,28,USD,195.386368,5470.818298,30674.681858,858891.092035,156.994995
2024-12,AMD,22,USD,120.790001,2657.380020,18963.425604,417195.363287,156.994995
2024-12,AVGO,13,USD,229.981613,2989.760971,36105.962235,469377.509055,156.994995
2024-12,3048.T,100,JPY,10.639429,1063.942935,1670.337158,167033.715820,156.994995
2024-12,7513.T,100,JPY,6.508010,650.801024,1021.725037,102172.503662,156.994995
2024-12,8591.T,100,JPY,21.323379,2132.337923,3347.663818,334766.381836,156.994995
2024-12,8963.T,10,JPY,397.154181,3971.541813,62351.218750,623512.187500,156.994995
2024-12,8985.T,11,JPY,425.575270,4681.327975,66813.187500,734945.062500,156.994995
2024-12,9432.T,2800,JPY,0.988957,2769.080276,155.261337,434731.744385,156.994995
2024-12,7203.T,300,JPY,19.684624,5905.387205,3090.387451,927116.235352,156.994995
2024-12,8306.T,500,JPY,11.547836,5773.917797,1812.952393,906476.196289,156.994995
2024-12,8316.T,100,JPY,23.609882,2360.988195,3706.633301,370663.330078,156.994995
2024-12,9201.T,300,JPY,15.606716,4682.014738,2450.176270,735052.880859,156.994995
2024-12,9202.T,200,JPY,17.874868,3574.973700,2806.264893,561252.978516,156.994995
2025-01,ARM,14,USD,159.550003,2233.700043,24586.176840,344206.475756,154.097000
2025-01,CDNS,4,USD,297.619995,1190.479980,45862.348424,183449.393696,154.097000
2025-01,MCD,5,USD,285.423920,1427.119598,43982.969785,219914.848927,154.097000
2025-01,MRVL,33,USD,112.582558,3715.224403,17348.634404,572504.935341,154.097000
2025-01,NVDA,28,USD,120.050621,3361.417389,18499.440564,517984.335790,154.097000
2025-01,QCOM,15,USD,170.975494,2564.632416,26346.810779,395202.161686,154.097000
2025-01,SBUX,15,USD,105.652924,1584.793854,16280.798578,244211.978676,154.097000
2025-01,SNPS,2,USD,525.479980,1050.959961,80974.888614,161949.777229,154.097000
2025-01,TSM,28,USD,207.747986,5816.943604,32013.341399,896373.559181,154.097000
2025-01,AMD,22,USD,115.949997,2550.899933,17867.546694,393086.027266,154.097000
2025-01,AVGO,13,USD,220.084457,2861.097946,33914.354658,440886.610560,154.097000
2025-01,3048.T,100,JPY,10.598920,1059.892042,1633.261841,163326.184082,154.097000
2025-01,7513.T,100,JPY,6.387436,638.743602,984.284729,98428.472900,154.097000
2025-01,8591.T,100,JPY,21.016820,2101.681995,3238.628906,323862.890625,154.097000
2025-01,8963.T,10,JPY,427.015786,4270.157856,65801.851562,658018.515625,154.097000
2025-01,8985.T,11,JPY,467.238168,5139.619846,72000.000000,792000.000000,154.097000
2025-01,9432.T,2800,JPY,0.973758,2726.522500,150.053192,420148.937988,154.097000
2025-01,7203.T,300,JPY,18.955183,5686.554765,2920.936768,876281.030273,154.097000
2025-01,8306.T,500,JPY,12.609463,6304.731574,1943.080444,971540.222168,154.097000
2025-01,8316.T,100,JPY,24.718509,2471.850907,3809.048096,380904.809570,154.097000
2025-01,9201.T,300,JPY,16.311681,4893.504194,2513.581055,754074.316406,154.097000
2025-01,9202.T,200,JPY,18.522437,3704.487369,2854.251953,570850.390625,154.097000
2025-02,ARM,14,USD,131.690002,1843.660034,19755.079778,276571.116894,150.011993
2025-02,CDNS,4,USD,250.500000,1002.000000,37578.004349,150312.017395,150.011993
2025-02,MCD,5,USD,304.831116,1524.155579,45728.323322,228641.616612,150.011993
2025-02,MRVL,33,USD,91.640785,3024.145912,13747.216868,453658.156642,150.011993
2025-02,NVDA,28,USD,124.899834,3497.195343,18736.473027,524621.244744,150.011993
2025-02,QCOM,15,USD,155.393631,2330.904465,23310.908346,349663.625197,150.011993
2025-02,SBUX,15,USD,113.629868,1704.448013,17045.842942,255687.644137,150.011993
2025-02,SNPS,2,USD,457.279999,914.559998,68597.484163,137194.968325,150.011993
2025-02,TSM,28,USD,179.174194,5016.877441,26878.278060,752591.785670,150.011993
2025-02,AMD,22,USD,99.860001,2196.920013,14980.197753,329564.350573,150.011993
2025-02,AVGO,13,USD,198.361465,2578.699051,29756.598848,386835.785026,150.011993
2025-02,3048.T,100,JPY,10.389993,1038.999282,1558.623535,155862.353516,150.011993
2025-02,7513.T,100,JPY,6.475991,647.599059,971.476257,97147.625732,150.011993
2025-02,8591.T,100,JPY,20.220577,2022.057725,3033.329102,303332.910156,150.011993
2025-02,8963.T,10,JPY,414.059185,4140.591851,62113.843750,621138.437500,150.011993
2025-02,8985.T,11,JPY,463.296290,5096.259190,69500.000000,764500.000000,150.011993
2025-02,9432.T,2800,JPY,0.952455,2666.875065,142.879730,400063.244629,150.011993
2025-02,7203.T,300,JPY,17.608366,5282.509760,2641.466064,792439.819336,150.011993
2025-02,8306.T,500,JPY,12.458551,6229.275288,1868.932007,934466.003418,150.011993
2025-02,8316.T,100,JPY,24.892720,2489.271996,3734.206543,373420.654297,150.011993
2025-02,9201.T,300,JPY,16.916414,5074.924307,2537.665039,761299.511719,150.011993
2025-02,9202.T,200,JPY,18.605747,3721.149412,2791.085205,558217.041016,150.011993
2025-03,ARM,14,USD,106.790001,1495.060013,15977.600036,223686.400508,149.617004
2025-03,CDNS,4,USD,254.330002,1017.320007,38052.093002,152208.372006,149.617004
2025-03,MCD,5,USD,308.825256,1544.126282,46205.509736,231027.548681,149.617004
2025-03,MRVL,33,USD,61.449825,2027.844234,9193.938780,303399.979740,149.617004
2025-03,NVDA,28,USD,108.362511,3034.150299,16212.874237,453960.478630,149.617004
2025-03,QCOM,15,USD,151.873871,2278.108063,22722.913602,340843.704035,149.617004
2025-03,SBUX,15,USD,96.765816,1451.487236,14477.811478,217167.172171,149.617004
2025-03,SNPS,2,USD,428.850006,857.700012,64163.253248,128326.506496,149.617004
2025-03,TSM,28,USD,164.753326,4613.093140,24649.899162,690197.176547,149.617004
2025-03,AMD,22,USD,102.739998,2260.279953,15371.650712,338176.315661,149.617004
2025-03,AVGO,13,USD,166.532913,2164.927872,24916.155607,323910.022895,149.617004
2025-03,3048.T,100,JPY,10.318602,1031.860239,1543.838379,154383.837891,149.617004
2025-03,7513.T,100,JPY,7.092348,709.234802,1061.135864,106113.586426,149.617004
2025-03,8591.T,100,JPY,20.247698,2024.769788,3029.399902,302939.990234,149.617004
2025-03,8963.T,10,JPY,408.665531,4086.655307,61143.312500,611433.125000,149.617004
2025-03,8985.T,11,JPY,484.570589,5330.276483,72500.000000,797500.000000,149.617004
2025-03,9432.T,2800,JPY,0.950372,2661.042579,142.191864,398137.219238,149.617004
2025-03,7203.T,300,JPY,17.175565,5152.669515,2569.756592,770926.977539,149.617004
2025-03,8306.T,500,JPY,13.200361,6600.180719,1974.998535,987499.267578,149.617004
2025-03,8316.T,100,JPY,24.978181,2497.818119,3737.160645,373716.064453,149.617004
2025-03,9201.T,300,JPY,16.796818,5039.045414,2513.089600,753926.879883,149.617004
2025-03,9202.T,200,JPY,18.062493,3612.498547,2702.456055,540491.210938,149.617004
2025-04,ARM,14,USD,114.050003,1596.700043,16229.200925,227208.812948,142.298996
2025-04,CDNS,4,USD,297.739990,1190.959961,42368.101671,169472.406684,142.298996
2025-04,MCD,5,USD,317.847290,1589.236450,45229.350245,226146.751224,142.298996
2025-04,MRVL,33,USD,58.256069,1922.450283,8289.780154,273562.745084,142.298996
2025-04,NVDA,28,USD,108.912437,3049.548248,15498.130496,433947.653899,142.298996
2025-04,QCOM,15,USD,147.573532,2213.602982,20999.565450,314993.481757,142.298996
2025-04,SBUX,15,USD,78.969353,1184.540291,11237.259605,168558.894073,142.298996
2025-04,SNPS,2,USD,459.010010,918.020020,65316.663531,130633.327061,142.298996
2025-04,TSM,28,USD,166.082718,4650.316101,23633.404005,661735.312134,142.298996
2025-04,AMD,22,USD,97.349998,2141.699966,13852.807041,304761.754896,142.298996
2025-04,AVGO,13,USD,192.018051,2496.234665,27323.975887,355211.686527,142.298996
2025-04,3048.T,100,JPY,10.617021,1061.702067,1510.791382,151079.138184,142.298996
2025-04,7513.T,100,JPY,7.311683,731.168329,1040.445190,104044.519043,142.298996
2025-04,8591.T,100,JPY,20.035278,2003.527840,2851.000000,285100.000000,142.298996
2025-04,8963.T,10,JPY,402.400585,4024.005850,57261.199219,572611.992188,142.298996
2025-04,8985.T,11,JPY,496.138427,5457.522695,70600.000000,776600.000000,142.298996
2025-04,9432.T,2800,JPY,1.049199,2937.757963,149.300003,418040.008545,142.298996
2025-04,7203.T,300,JPY,19.177929,5753.378612,2729.000000,818700.000000,142.298996
2025-04,8306.T,500,JPY,12.674018,6337.008872,1803.500000,901750.000000,142.298996
2025-04,8316.T,100,JPY,23.893352,2389.335200,3400.000000,340000.000000,142.298996
2025-04,9201.T,300,JPY,18.141379,5442.413664,2581.500000,774450.000000,142.298996
2025-04,9202.T,200,JPY,19.227121,3845.424181,2736.000000,547200.000000,142.298996
2025-05,ARM,14,USD,124.540001,1743.560013,17938.740896,251142.372540,144.039993
2025-05,CDNS,4,USD,287.070007,1148.280029,41349.561928,165398.247711,144.039993
2025-05,MCD,5,USD,312.080017,1560.400085,44952.003566,224760.017832,144.039993
2025-05,MRVL,33,USD,60.140770,1984.645409,8662.676101,285868.311334,144.039993
2025-05,NVDA,28,USD,135.120621,3783.377380,19462.773302,544957.652468,144.039993
2025-05,QCOM,15,USD,144.332993,2164.994888,20789.723278,311845.849176,144.039993
2025-05,SBUX,15,USD,82.816696,1242.250443,11928.916360,178933.745398,144.039993
2025-05,SNPS,2,USD,463.980011,927.960022,66831.677667,133663.355335,144.039993
2025-05,TSM,28,USD,192.615707,5393.239807,27744.365200,776842.225609,144.039993
2025-05,AMD,22,USD,110.730003,2436.060074,15949.548940,350890.076682,144.039993
2025-05,AVGO,13,USD,241.501587,3139.520630,34785.886958,452216.530450,144.039993
2025-05,3048.T,100,JPY,10.290083,1029.008290,1482.183472,148218.347168,144.039993
2025-05,7513.T,100,JPY,7.134384,713.438381,1027.636597,102763.659668,144.039993
2025-05,8591.T,100,JPY,21.285755,2128.575495,3066.000000,306600.000000,144.039993
2025-05,8963.T,10,JPY,413.033996,4130.339964,59493.414062,594934.140625,144.039993
2025-05,8985.T,11,JPY,518.605967,5704.665637,74700.000000,821700.000000,144.039993
2025-05,9432.T,2800,JPY,1.113580,3118.022798,160.399994,449119.982910,144.039993
2025-05,7203.T,300,JPY,19.223828,5767.148283,2769.000000,830700.000000,144.039993
2025-05,8306.T,500,JPY,14.062067,7031.033374,2025.500000,1012750.000000,144.039993
2025-05,8316.T,100,JPY,25.687310,2568.731028,3700.000000,370000.000000,144.039993
2025-05,9201.T,300,JPY,20.292975,6087.892536,2923.000000,876900.000000,144.039993
2025-05,9202.T,200,JPY,19.834769,3966.953809,2857.000000,571400.000000,144.039993
2025-06,ARM,14,USD,161.740005,2264.360077,23374.180097,327238.521364,144.516998
2025-06,CDNS,4,USD,308.149994,1232.599976,44532.912141,178131.648565,144.516998
2025-06,MCD,5,USD,290.522278,1452.611389,41985.407529,209927.037645,144.516998
2025-06,MRVL,33,USD,77.336693,2552.110863,11176.466703,368823.401188,144.516998
2025-06,NVDA,28,USD,157.979034,4423.412964,22830.655848,639258.363740,144.516998
2025-06,QCOM,15,USD,158.309036,2374.635544,22878.346722,343175.200828,144.516998
2025-06,SBUX,15,USD,91.029373,1365.440598,13155.291767,197329.376500,144.516998
2025-06,SNPS,2,USD,512.679993,1025.359985,74090.973625,148181.947251,144.516998
2025-06,TSM,28,USD,225.664871,6318.616394,32612.409808,913147.474619,144.516998
2025-06,AMD,22,USD,141.899994,3121.799866,20506.961175,451153.145860,144.516998
2025-06,AVGO,13,USD,275.002716,3575.035309,39742.567048,516653.371618,144.516998
2025-06,3048.T,100,JPY,11.290264,1129.026363,1631.635010,163163.500977,144.516998
2025-06,7513.T,100,JPY,8.419829,841.982940,1216.808472,121680.847168,144.516998
2025-06,8591.T,100,JPY,22.557900,2255.790003,3260.000000,326000.000000,144.516998
2025-06,8963.T,10,JPY,416.371679,4163.716785,60172.785156,601727.851562,144.516998
2025-06,8985.T,11,JPY,526.581654,5792.398195,76100.000000,837100.000000,144.516998
2025-06,9432.T,2800,JPY,1.065619,2983.732053,154.000000,431200.000000,144.516998
2025-06,7203.T,300,JPY,17.250566,5175.169764,2493.000000,747900.000000,144.516998
2025-06,8306.T,500,JPY,13.721569,6860.784626,1983.000000,991500.000000,144.516998
2025-06,8316.T,100,JPY,25.145831,2514.583089,3634.000000,363400.000000,144.516998
2025-06,9201.T,300,JPY,20.354007,6106.202111,2941.500000,882450.000000,144.516998
2025-06,9202.T,200,JPY,19.530574,3906.114898,2822.500000,564500.000000,144.516998
2025-07,ARM,14,USD,141.375000,1979.250000,21096.825457,295355.556393,149.225998
2025-07,CDNS,4,USD,364.570007,1458.280029,54403.323156,217613.292626,149.225998
2025-07,MCD,5,USD,300.070007,1500.350037,44778.246290,223891.231451,149.225998
2025-07,MRVL,33,USD,80.304268,2650.040840,11983.484513,395454.988913,149.225998
2025-07,NVDA,28,USD,177.869995,4980.359863,26542.827522,743199.170623,149.225998
2025-07,QCOM,15,USD,146.759995,2201.399918,21900.406636,328506.099536,149.225998
2025-07,SBUX,15,USD,88.575569,1328.633537,13217.777699,198266.665479,149.225998
2025-07,SNPS,2,USD,633.469971,1266.939941,94530.188534,189060.377067,149.225998
2025-07,TSM,28,USD,241.619995,6765.359863,36055.984890,1009567.576919,149.225998
2025-07,AMD,22,USD,176.309998,3878.819946,26310.035330,578820.777256,149.225998
2025-07,AVGO,13,USD,293.700012,3818.100159,43827.677412,569759.806358,149.225998
2025-07,3048.T,100,JPY,10.474547,1047.454685,1563.074707,156307.470703,149.225998
2025-07,7513.T,100,JPY,7.956056,795.605580,1187.250366,118725.036621,149.225998
2025-07,8591.T,100,JPY,22.784234,2278.423363,3400.000000,340000.000000,149.225998
2025-07,8963.T,10,JPY,450.323676,4503.236764,67200.000000,672000.000000,149.225998
2025-07,8985.T,11,JPY,555.533226,6110.865484,82900.000000,911900.000000,149.225998
2025-07,9432.T,2800,JPY,1.023280,2865.184334,152.699997,427559.991455,149.225998
2025-07,7203.T,300,JPY,18.069908,5420.972292,2696.500000,808950.000000,149.225998
2025-07,8306.T,500,JPY,14.142978,7071.488981,2110.500000,1055250.000000,149.225998
2025-07,8316.T,100,JPY,25.833300,2583.330019,3855.000000,385500.000000,149.225998
2025-07,9201.T,300,JPY,20.164047,6049.214028,3009.000000,902700.000000,149.225998
2025-07,9202.T,200,JPY,18.817096,3763.419296,2808.000000,561600.000000,149.225998
2025-08,ARM,14,USD,140.660004,1969.240051,20731.877854,290246.289955,147.389999
2025-08,CDNS,4,USD,346.880005,1387.520020,51126.643708,204506.574832,147.389999
2025-08,MCD,5,USD,311.429993,1557.149963,45901.666430,229508.332152,147.389999
2025-08,MRVL,33,USD,74.790001,2468.070030,11023.298189,363768.840247,147.389999
2025-08,NVDA,28,USD,181.600006,5084.800171,26766.024789,749448.694085,147.389999
2025-08,QCOM,15,USD,159.770004,2396.550064,23548.500832,353227.512483,147.389999
2025-08,SBUX,15,USD,87.660004,1314.900055,12920.207886,193803.118294,147.389999
2025-08,SNPS,2,USD,603.169983,1206.339966,88901.223413,177802.446826,147.389999
2025-08,TSM,28,USD,239.289993,6700.119812,35268.951964,987530.655003,147.389999
2025-08,AMD,22,USD,167.130005,3676.860107,24633.291318,541932.408989,147.389999
2025-08,AVGO,13,USD,300.250000,3903.250000,44253.847317,575300.015118,147.389999
2025-08,3048.T,100,JPY,10.889477,1088.947694,1605.000000,160500.000000,147.389999
2025-08,7513.T,100,JPY,8.168804,816.880389,1204.000000,120400.000000,147.389999
2025-08,8591.T,100,JPY,25.727661,2572.766141,3792.000000,379200.000000,147.389999
2025-08,8963.T,10,JPY,458.647129,4586.471286,67600.000000,676000.000000,147.389999
2025-08,8985.T,11,JPY,581.450576,6395.956333,85700.000000,942700.000000,147.389999
2025-08,9432.T,2800,JPY,1.070629,2997.761113,157.800003,441840.008545,147.389999
2025-08,7203.T,300,JPY,19.706222,5911.866501,2904.500000,871350.000000,147.389999
2025-08,8306.T,500,JPY,15.262230,7631.114761,2249.500000,1124750.000000,147.389999
2025-08,8316.T,100,JPY,27.593460,2759.345964,4067.000000,406700.000000,147.389999
2025-08,9201.T,300,JPY,21.582197,6474.659095,3181.000000,954300.000000,147.389999
2025-08,9202.T,200,JPY,20.150621,4030.124177,2970.000000,594000.000000,147.389999
